OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
6201,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,-2.04,-98.44,12/13/2001 12:00:00 AM,7ac5daa1-dacf-4abd-8a12-9f9a46dd6d68,-98.4399999999999,-2.03999999999996
12201,Pacific Ocean,,,Plankton net,0.47,pieces/m3,0.005-1,Medium,Alfaro-Núñez et al.2021,"Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3",https://doi.org/10.1038/s41598-021-85939-3,"University of Copenhagen, Denmark",RV Orion,276018,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018,0,-89,10/25/2017 12:00:00 AM,1892fa21-a061-441b-82a9-970467bb9931,-88.9999999999999,5.6843418860808E-14
13910,Atlantic Ocean,,,Aluminum bucket,1927.333333,pieces/m3,>=10,Very High,Queiroz et al.2022,"Queiroz, A.F.dos S., A.S. da Conceição, D. Chelazzi, M. Rollnic, A. Cincinelli, T. Giarrizzo, J.E.M. Filho. 2022. First assessment of microplastic and artificial microfiber contamination in surface waters of the Amazon Continental Shelf. Science of The Total Environment, 839, 156259. https://doi.org/10.1016/j.scitotenv.2022.156259",https://doi.org/10.1016/j.scitotenv.2022.156259,"Federal University of Pará, Brazil",Amazon Continental Shelf,276482,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276482,4.651903,-49.659528,3/18/2018 12:00:00 AM,b17c821e-7117-486b-97ff-607400e6cabc,-49.659528,4.65190300000006
748,Atlantic Ocean,Caribbean Sea,,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,17.02,-78.22,4/12/1994 12:00:00 AM,784fe4b6-e143-407b-a794-20c79a22a179,-78.22,17.02
1246,Atlantic Ocean,Caribbean Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,16.93,-81.77,12/23/1996 12:00:00 AM,1b534a6a-d226-496d-803a-2428eaee9454,-81.77,16.9300000000001
15355,Pacific Ocean,,,PVC cylinder,3526.093089,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,15.664929,-96.544661,5/30/2018 12:00:00 AM,53d84daa-7d7b-4d25-88ab-49788b964e78,-96.544661,15.664929
14906,Atlantic Ocean,,,Megacorer,0,pieces kg-1 d.w.,0-2,Very Low,Courtene-Jones et al. 2020,"Courtene-Jones, W., B. Quinn, C. Ewins, S. F. Gary, B. E. Narayanaswamy. 2020. Microplastic accumulation in deep-sea sediments from the Rockall Trough. Marine Pollution Bulletin 154, 111092. https://doi.org/10.1016/j.marpolbul.2020.111092.",https://doi.org/10.1016/j.marpolbul.2020.111092,"Scottish Marine Institute, Scotland, United Kingdom","Rockall Trough, Scotland",278002,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278002,57.3045,-10.3825,5/18/2017 12:00:00 AM,dc1fb416-fc30-4e77-8c16-3a61f49d059c,-10.3824999999999,57.3045000000001
13363,Arctic Ocean,Davis Strait,,Manta net,0.020223,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,69.069167,-51.9785,7/16/2016 12:00:00 AM,3369604d-c6ee-463b-8b4f-8af99437899d,-51.9784999999999,69.069167
11205,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,0.545829,pieces/m3,0.005-1,Medium,Pedrotti et al.2022,"Pedrotti, M.L., F. Lombard, A. Baudena, F. Galgani, A. Elineau, S. Petit, M. Henry, R. Trouble, G. Riverdin, E. Ser-Giacomi, M. Kedzierski, E. Boss, G. Gorsky. 2022. An integrative assessment of the plastic debris load in the Mediterranean Sea. Science of the Total Environment 838: 155958",http://dx.doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,R/V Tara ,270530,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:270530,38.4047,5.4506,9/14/2014 12:00:00 AM,78f7b730-c138-421a-b059-0a248692f504,5.45060000000007,38.4047
13412,Atlantic Ocean,North Sea,,Manta net,0.009999,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,52.873333,4.644667,7/5/2017 12:00:00 AM,5ff20c23-f41a-4376-80e0-c2083d11f75a,4.64466700000003,52.8733330000001
